formattedAddress,addressLine1,city,state,zipCode,price,lastSeen,createdDate,rawAddress,county,propertyType,listedDate,status,removedDate,daysOnMarket,id,latitude,longitude,bathrooms,bedrooms,addressLine2,squareFootage,yearBuilt,lotSize
"5200 S Drexel Ave, Apt 1W, Chicago, IL 60615",5200 S Drexel Ave,Chicago,IL,60615,2000,2022-08-21T03:22:41.972Z,2022-06-15T03:06:15.752Z,,Cook County,Condo,2022-06-14T00:20:55.000Z,Inactive,2022-08-28T03:23:52.145Z,76,"5200-S-Drexel-Ave,-Apt-1W,-Chicago,-IL-60615",41.800237,-87.604292,2,2,Apt 1W,1100,,
"5220 S Drexel Ave, Apt 315, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1195,2022-08-06T09:45:24.783Z,2022-08-05T09:37:58.530Z,,Cook County,Apartment,2022-08-05T09:37:58.530Z,Inactive,2022-08-14T03:23:48.545Z,9,"5220-S-Drexel-Ave,-Apt-315,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 315,350,,
"5220 S Drexel Ave, Apt 216, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1095,2022-08-06T09:45:24.779Z,2022-07-28T03:11:35.558Z,,Cook County,Apartment,2022-07-28T03:11:35.558Z,Inactive,2022-08-14T03:23:48.545Z,18,"5220-S-Drexel-Ave,-Apt-216,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 216,350,,
"5222 S Drexel Ave, # 223, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,2255,2022-08-06T09:42:06.431Z,2022-06-12T03:05:10.064Z,,Cook County,Apartment,2022-06-12T03:05:10.064Z,Inactive,2022-08-14T03:23:48.545Z,64,"5222-S-Drexel-Ave,---223,-Chicago,-IL-60615",41.799455,-87.604577,1,3,# 223,1220,,
"5222 S Drexel Ave, # 381, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,2200,2022-08-06T09:42:06.430Z,2022-06-03T03:48:39.273Z,,Cook County,Apartment,2022-06-03T03:48:39.273Z,Inactive,2022-08-14T03:23:48.545Z,72,"5222-S-Drexel-Ave,---381,-Chicago,-IL-60615",41.799455,-87.604577,1,3,# 381,1220,,
"5222 S Drexel Ave, # 241, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,2255,2022-08-06T09:42:06.426Z,2022-06-12T03:03:15.091Z,,Cook County,Apartment,2022-06-12T03:03:15.091Z,Inactive,2022-08-14T03:23:48.545Z,64,"5222-S-Drexel-Ave,---241,-Chicago,-IL-60615",41.799455,-87.604577,1,3,# 241,1180,,
"5220 S Drexel Ave, Apt 205, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1524,2022-08-06T09:39:47.538Z,2022-07-10T03:22:12.281Z,,Cook County,Apartment,2022-07-10T03:22:12.281Z,Inactive,2022-08-14T03:23:48.545Z,36,"5220-S-Drexel-Ave,-Apt-205,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 205,460,,
"5220 S Drexel Ave, Apt 405, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1300,2022-08-06T09:38:53.869Z,2022-07-10T02:59:38.875Z,,Cook County,Apartment,2022-07-10T02:59:38.875Z,Inactive,2022-08-14T03:23:48.545Z,36,"5220-S-Drexel-Ave,-Apt-405,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 405,460,,
"5222 S Drexel Ave, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1425,2022-08-06T08:51:55.957Z,2021-10-19T02:48:10.383Z,,Cook County,Single Family,2021-10-19T02:48:10.383Z,Inactive,2022-08-14T03:23:48.545Z,300,"5222-S-Drexel-Ave,-Chicago,-IL-60615",41.799448,-87.604581,1,1,,,,
"5222 S Drexel Ave, # 38GE, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1800,2022-08-06T08:16:23.569Z,2022-06-29T03:24:19.717Z,,Cook County,Apartment,2022-06-29T03:24:19.717Z,Inactive,2022-08-14T03:22:15.615Z,46,"5222-S-Drexel-Ave,---38GE,-Chicago,-IL-60615",41.799455,-87.604577,1,2,# 38GE,1426,,
"5220 S Drexel Ave, Apt 411, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1236,2022-07-28T03:19:37.165Z,2022-07-20T03:31:50.299Z,,Cook County,Apartment,2022-07-20T03:31:50.299Z,Inactive,2022-08-12T04:45:53.571Z,24,"5220-S-Drexel-Ave,-Apt-411,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 411,350,,
"5220 S Drexel Ave, Apt 419, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1236,2022-07-28T03:19:37.156Z,2022-07-20T03:39:12.405Z,,Cook County,Apartment,2022-07-20T03:39:12.405Z,Inactive,2022-08-12T04:45:53.571Z,24,"5220-S-Drexel-Ave,-Apt-419,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 419,350,,
"5222 S Drexel Ave, # 302, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1685,2022-07-28T03:11:35.542Z,2022-07-10T03:19:01.937Z,,Cook County,Apartment,2022-07-10T03:19:01.937Z,Inactive,2022-08-12T04:45:53.571Z,34,"5222-S-Drexel-Ave,---302,-Chicago,-IL-60615",41.799455,-87.604577,1,2,# 302,1004,,
"5220 S Drexel Ave, Apt 211, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1075,2022-07-27T03:37:20.229Z,2022-07-20T03:37:45.063Z,,Cook County,Apartment,2022-07-20T03:37:45.063Z,Inactive,2022-08-12T04:40:10.035Z,24,"5220-S-Drexel-Ave,-Apt-211,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 211,350,,
"5220 S Drexel Ave, Apt 414, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1150,2022-07-17T04:07:27.227Z,2022-05-27T03:18:56.954Z,,Cook County,Apartment,2022-05-27T03:18:56.954Z,Inactive,2022-08-12T04:28:07.624Z,78,"5220-S-Drexel-Ave,-Apt-414,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 414,350,,
"5222 S Drexel Ave, # 321, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1495,2022-07-09T03:40:31.824Z,2022-07-03T03:35:31.152Z,,Cook County,Apartment,2022-07-03T03:35:31.152Z,Inactive,2022-08-12T04:18:51.069Z,41,"5222-S-Drexel-Ave,---321,-Chicago,-IL-60615",41.799455,-87.604577,1,1,# 321,846,,
"5220 S Drexel Ave, Apt 401, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1400,2022-07-02T03:35:45.183Z,2022-06-18T03:29:20.682Z,,Cook County,Apartment,2022-06-18T03:29:20.682Z,Inactive,2022-08-12T04:13:06.622Z,56,"5220-S-Drexel-Ave,-Apt-401,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 401,550,,
"5205 S Drexel Ave, Apt N1B, Chicago, IL 60615",5205 S Drexel Ave,Chicago,IL,60615,2600,2022-07-01T03:55:34.831Z,2022-05-17T03:02:54.134Z,,Cook County,Condo,2022-05-17T03:02:54.134Z,Inactive,2022-08-12T04:11:28.817Z,88,"5205-S-Drexel-Ave,-Apt-N1B,-Chicago,-IL-60615",41.800548,-87.603594,2,3,Apt N1B,1439,,
"5222 S Drexel Ave, # 263, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1650,2022-06-30T03:31:03.977Z,2022-06-02T03:18:55.560Z,,Cook County,Apartment,2022-06-02T03:18:55.560Z,Inactive,2022-08-12T04:09:54.649Z,72,"5222-S-Drexel-Ave,---263,-Chicago,-IL-60615",41.799455,-87.604577,1,2,# 263,908,,
"5222 S Drexel Ave, # 383, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1900,2022-06-30T03:25:48.809Z,2022-04-25T03:06:02.923Z,,Cook County,Apartment,2022-04-25T03:06:02.923Z,Inactive,2022-08-12T04:09:54.649Z,110,"5222-S-Drexel-Ave,---383,-Chicago,-IL-60615",41.799455,-87.604577,1,3,# 383,1220,,
"5220 S Drexel Ave, Apt 206, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1325,2022-06-23T03:21:23.816Z,2022-05-12T03:23:32.164Z,,Cook County,Apartment,2022-05-12T03:23:32.164Z,Inactive,2022-08-12T04:02:17.972Z,93,"5220-S-Drexel-Ave,-Apt-206,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 206,460,,
"5221 S Drexel Ave, Unit 1, Chicago, IL 60615",5221 S Drexel Ave,Chicago,IL,60615,2750,2022-06-17T03:54:29.252Z,2020-05-15T21:08:59.317Z,,Cook County,Condo,2022-05-13T03:53:35.399Z,Inactive,2022-08-12T03:56:40.898Z,92,"5221-S-Drexel-Ave,-Unit-1,-Chicago,-IL-60615",41.80016,-87.603586,2.5,1,Unit 1,1900,,
"5220 S Drexel Ave, Apt 412, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1095,2022-06-17T03:30:37.461Z,2022-05-27T03:16:19.560Z,,Cook County,Apartment,2022-05-27T03:16:19.560Z,Inactive,2022-08-12T03:56:40.898Z,78,"5220-S-Drexel-Ave,-Apt-412,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 412,350,,
"5220 S Drexel Ave, Apt 213, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1100,2022-06-17T03:24:33.105Z,2022-04-12T08:55:39.267Z,,Cook County,Apartment,2022-04-12T08:55:39.267Z,Inactive,2022-08-12T03:56:40.898Z,122,"5220-S-Drexel-Ave,-Apt-213,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 213,350,,
"5220 S Drexel Ave, Apt 212, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1075,2022-06-15T03:18:45.485Z,2022-05-08T03:34:47.670Z,,Cook County,Apartment,2022-05-08T03:34:47.670Z,Inactive,2022-08-12T03:53:48.971Z,97,"5220-S-Drexel-Ave,-Apt-212,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 212,350,,
"5219 S Drexel Ave, Unit 3, Chicago, IL 60615",5219 S Drexel Ave,Chicago,IL,60615,1975,2022-06-13T03:56:06.594Z,2022-05-28T03:10:53.542Z,,Cook County,Condo,2022-05-28T03:10:53.542Z,Inactive,2022-08-12T03:52:27.202Z,77,"5219-S-Drexel-Ave,-Unit-3,-Chicago,-IL-60615",41.80016,-87.603586,2,2,Unit 3,1314,,
"5207 S Drexel Ave, Apt S3B, Chicago, IL 60615",5207 S Drexel Ave,Chicago,IL,60615,1400,2022-06-08T03:47:00.637Z,2021-09-29T02:19:05.915Z,,Cook County,Condo,2021-09-29T02:19:05.915Z,Inactive,2022-08-12T03:46:20.141Z,318,"5207-S-Drexel-Ave,-Apt-S3B,-Chicago,-IL-60615",41.800502,-87.603633,1,1,Apt S3B,825,,
"5220 S Drexel Ave, Apt 404, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1250,2022-06-08T03:35:11.158Z,2022-05-08T03:31:39.674Z,,Cook County,Apartment,2022-05-08T03:31:39.674Z,Inactive,2022-08-12T03:46:20.141Z,97,"5220-S-Drexel-Ave,-Apt-404,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 404,460,,
"5222 S Drexel Ave, # 303, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1900,2022-06-01T03:08:11.352Z,2022-05-25T03:08:18.429Z,,Cook County,Apartment,2022-05-25T03:08:18.429Z,Inactive,2022-08-12T03:39:13.725Z,80,"5222-S-Drexel-Ave,---303,-Chicago,-IL-60615",41.799455,-87.604577,1,3,# 303,1410,,
"5135-45 S Ingleside936-44 E 52nd St, Unit 5143-1, Chicago, IL 60615",5135-45 S Ingleside936-44 E 52nd St,Chicago,IL,60615,1795,2022-05-26T03:48:51.037Z,2022-05-24T03:06:36.945Z,,Cook County,Apartment,2022-05-24T03:06:36.945Z,Inactive,2022-08-12T03:35:01.155Z,81,"5135-45-S-Ingleside936-44-E-52nd-St,-Unit-5143-1,-Chicago,-IL-60615",41.801201,-87.6027,1,,Unit 5143-1,,,
"5220 S Drexel Ave, Apt 101, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1600,2022-05-26T03:40:11.609Z,2022-03-20T03:53:53.681Z,,Cook County,Apartment,2022-03-20T03:53:53.681Z,Inactive,2022-08-12T03:35:01.155Z,145,"5220-S-Drexel-Ave,-Apt-101,-Chicago,-IL-60615",41.799716,-87.60455,1,2,Apt 101,715,,
"5044 S Drexel Blvd, Unit 3B, Chicago, IL 60615",5044 S Drexel Blvd,Chicago,IL,60615,2200,2022-05-23T03:47:02.295Z,2021-12-16T02:05:28.923Z,,Cook County,Apartment,2021-12-16T02:05:28.923Z,Inactive,2022-08-12T03:30:34.228Z,240,"5044-S-Drexel-Blvd,-Unit-3B,-Chicago,-IL-60615",41.802742,-87.60463,2,3,Unit 3B,,,
"5206 S Drexel Ave, Apt 3, Chicago, IL 60615",5206 S Drexel Ave,Chicago,IL,60615,1750,2022-05-21T03:53:30.687Z,2022-05-17T02:58:00.018Z,,Cook County,Condo,2022-05-17T02:58:00.018Z,Inactive,2022-08-12T03:29:01.394Z,88,"5206-S-Drexel-Ave,-Apt-3,-Chicago,-IL-60615",41.800237,-87.604292,2,2,Apt 3,1100,,
"5220 S Drexel Ave, Apt 307, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1250,2022-05-19T03:39:41.599Z,2022-05-12T03:15:35.103Z,,Cook County,Apartment,2022-05-12T03:15:35.103Z,Inactive,2022-08-12T03:27:28.275Z,93,"5220-S-Drexel-Ave,-Apt-307,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 307,460,,
"5220 S Drexel Ave, Apt 420, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1055,2022-05-17T03:19:37.489Z,2022-03-20T02:58:32.078Z,,Cook County,Apartment,2022-03-20T02:58:32.078Z,Inactive,2022-08-12T03:24:28.182Z,146,"5220-S-Drexel-Ave,-Apt-420,-Chicago,-IL-60615",41.799716,-87.60455,1,,Apt 420,350,,
"5220 S Drexel Ave, Apt 207, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1250,2022-05-17T03:15:51.899Z,2022-05-15T02:38:43.879Z,,Cook County,Apartment,2022-05-15T02:38:43.879Z,Inactive,2022-08-12T03:24:28.182Z,90,"5220-S-Drexel-Ave,-Apt-207,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 207,460,,
"5222 S Drexel Ave, # 281, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1450,2022-04-25T04:27:07.898Z,2022-04-25T04:27:07.898Z,,Cook County,Apartment,2022-04-25T04:27:07.898Z,Inactive,2022-08-08T05:41:30.934Z,106,"5222-S-Drexel-Ave,---281,-Chicago,-IL-60615",41.799455,-87.604577,1,1,# 281,846,,
"5222 S Drexel Ave, # 283, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1495,2022-04-25T04:08:46.067Z,2022-04-25T04:08:46.067Z,,Cook County,Apartment,2022-04-25T04:08:46.067Z,Inactive,2022-08-08T05:41:30.934Z,106,"5222-S-Drexel-Ave,---283,-Chicago,-IL-60615",41.799455,-87.604577,1,1,# 283,846,,
"5222 S Drexel Ave, # 322, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1425,2022-04-15T03:01:31.957Z,2022-04-15T03:01:31.957Z,,Cook County,Apartment,2022-04-15T03:01:31.957Z,Inactive,2022-08-08T05:34:38.022Z,116,"5222-S-Drexel-Ave,---322,-Chicago,-IL-60615",41.799455,-87.604577,1,1,# 322,846,,
"5220 S Drexel Ave, Apt 104, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1255,2022-04-05T03:28:01.250Z,2022-03-21T03:27:21.407Z,,Cook County,Apartment,2022-03-21T03:27:21.407Z,Inactive,2022-08-08T05:24:09.195Z,141,"5220-S-Drexel-Ave,-Apt-104,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 104,460,,
"1101-1123 E Hyde Park Blvd, Chicago, IL 60615",1101-1123 E Hyde Park Blvd,Chicago,IL,60615,1595,2022-11-16T03:43:57.836Z,2019-07-13T03:04:09.169Z,,Cook County,Apartment,2022-10-04T02:26:26.000Z,Active,,44,"1101-1123-E-Hyde-Park-Blvd,-Chicago,-IL-60615",41.80202,-87.59855,1,2,,,,
"5226 S Berkeley Ave, Chicago, IL 60615",5226 S Berkeley Ave,Chicago,IL,60615,2600,2022-11-16T02:30:13.791Z,2022-10-07T02:51:34.111Z,,Cook County,Townhouse,2022-11-15T03:18:47.000Z,Active,,1,"5226-S-Berkeley-Ave,-Chicago,-IL-60615",41.800048,-87.600623,1.5,4,,1610,2000,
"5115 S Ellis Ave, Unit 3N, Chicago, IL 60615",5115 S Ellis Ave,Chicago,IL,60615,3500,2022-11-15T03:46:52.663Z,2022-09-03T00:13:03.862Z,,Cook County,Apartment,2022-09-29T15:21:39.000Z,Active,,47,"5115-S-Ellis-Ave,-Unit-3N,-Chicago,-IL-60615",41.801873,-87.600991,3,5,Unit 3N,2997,1920,6250
"5127 S Greenwood Ave, Apt 3, Chicago, IL 60615",5127 S Greenwood Ave,Chicago,IL,60615,2450,2022-11-11T03:42:35.175Z,2022-09-29T02:46:01.886Z,,Cook County,Condo,2022-09-28T12:49:09.000Z,Active,,44,"5127-S-Greenwood-Ave,-Apt-3,-Chicago,-IL-60615",41.801447,-87.599335,2,3,Apt 3,2000,1906,
"26 S University, Unit 51242, Chicago, IL 60615",26 S University,Chicago,IL,60615,2695,2022-11-05T03:46:14.052Z,2022-09-23T02:20:42.846Z,,Cook County,Apartment,2022-09-22T09:03:16.000Z,Inactive,2022-11-12T03:48:53.949Z,51,"26-S-University,-Unit-51242,-Chicago,-IL-60615",41.801489,-87.598547,2,4,Unit 51242,,,
"5201-09 S Greenwood Ave, Unit 5209B, Chicago, IL 60615",5201-09 S Greenwood Ave,Chicago,IL,60615,1400,2022-11-05T01:34:16.908Z,2022-09-19T01:40:50.087Z,,Cook County,Apartment,2022-11-04T22:02:45.000Z,Inactive,2022-11-12T03:48:53.949Z,8,"5201-09-S-Greenwood-Ave,-Unit-5209B,-Chicago,-IL-60615",41.800655,-87.599299,1,2,Unit 5209B,,,
"1000 E 53rd St, Unit 302, Chicago, IL 60615",1000 E 53rd St,Chicago,IL,60615,1750,2022-11-01T03:40:49.349Z,2022-10-05T02:37:29.043Z,,Cook County,Condo,2022-10-03T21:49:39.000Z,Inactive,2022-11-08T03:47:01.350Z,36,"1000-E-53rd-St,-Unit-302,-Chicago,-IL-60615",41.799664,-87.601003,1,1,Unit 302,800,,
"5124 S University Ave, Unit 2N, Chicago, IL 60615",5124 S University Ave,Chicago,IL,60615,2795,2022-11-01T03:36:05.092Z,2022-09-10T02:49:06.934Z,,Cook County,Apartment,2022-10-11T08:41:11.000Z,Inactive,2022-11-08T03:47:01.350Z,28,"5124-S-University-Ave,-Unit-2N,-Chicago,-IL-60615",41.801494,-87.598675,2,4,Unit 2N,1800,,
"5301-5309 S Ellis Ave, Unit 10032, Chicago, IL 60615",5301-5309 S Ellis Ave,Chicago,IL,60615,1100,2022-10-26T03:38:03.330Z,2022-06-12T03:26:17.070Z,,Cook County,Apartment,2022-09-25T09:03:06.000Z,Inactive,2022-11-02T03:43:37.733Z,38,"5301-5309-S-Ellis-Ave,-Unit-10032,-Chicago,-IL-60615",41.799162,-87.600848,1,,Unit 10032,,,
"5130 S Greenwood Ave, Chicago, IL 60615",5130 S Greenwood Ave,Chicago,IL,60615,3650,2022-10-25T03:31:56.885Z,2022-01-13T01:51:05.945Z,,Cook County,Apartment,2022-09-30T21:17:22.000Z,Inactive,2022-11-01T03:45:11.086Z,32,"5130-S-Greenwood-Ave,-Chicago,-IL-60615",41.801358,-87.600228,2,4,,1700,,
"5109 S Ellis Ave, Apt 2, Chicago, IL 60615",5109 S Ellis Ave,Chicago,IL,60615,3000,2022-10-08T03:37:13.512Z,2022-09-09T01:38:54.290Z,,Cook County,Condo,2022-09-23T15:07:55.000Z,Inactive,2022-10-15T03:42:23.739Z,22,"5109-S-Ellis-Ave,-Apt-2,-Chicago,-IL-60615",41.802046,-87.601003,3,5,Apt 2,3200,1920,
"1000 E 53rd St, Unit 302S, Chicago, IL 60615",1000 E 53rd St,Chicago,IL,60615,1750,2022-10-04T02:48:01.639Z,2022-10-04T02:48:01.639Z,,Cook County,Condo,2022-10-03T21:49:39.000Z,Inactive,2022-10-11T03:45:30.797Z,8,"1000-E-53rd-St,-Unit-302S,-Chicago,-IL-60615",41.799664,-87.601003,1,1,Unit 302S,800,,
"1101 E Hyde Park Blvd, Unit 11133, Chicago, IL 60615",1101 E Hyde Park Blvd,Chicago,IL,60615,1395,2022-09-22T02:29:20.168Z,2022-09-21T01:20:15.916Z,,Cook County,Apartment,2022-09-20T22:03:27.000Z,Inactive,2022-09-29T03:30:27.500Z,9,"1101-E-Hyde-Park-Blvd,-Unit-11133,-Chicago,-IL-60615",41.801777,-87.598873,1,1,Unit 11133,,,
"26 S University, Unit 5124GF, Chicago, IL 60615",26 S University,Chicago,IL,60615,2495,2022-09-21T03:28:32.535Z,2022-07-09T03:56:42.686Z,,Cook County,Apartment,2022-07-07T08:28:29.000Z,Inactive,2022-09-28T03:30:43.968Z,83,"26-S-University,-Unit-5124GF,-Chicago,-IL-60615",41.801489,-87.598547,1,3,Unit 5124GF,900,,
"5115-17 S Ellis Ave, Chicago, IL 60615",5115-17 S Ellis Ave,Chicago,IL,60615,2300,2022-09-19T03:26:20.631Z,2019-04-22T11:15:32.461Z,,Cook County,Single Family,2022-05-27T00:16:26.000Z,Inactive,2022-09-27T03:30:10.113Z,124,"5115-17-S-Ellis-Ave,-Chicago,-IL-60615",41.801798,-87.600912,2,3,,,,
"5201-09 S Greenwood Ave, Unit 1105-2, Chicago, IL 60615",5201-09 S Greenwood Ave,Chicago,IL,60615,1900,2022-09-15T01:39:20.470Z,2022-09-15T01:18:43.974Z,,Cook County,Apartment,2022-09-14T22:02:50.000Z,Inactive,2022-09-22T03:29:34.956Z,8,"5201-09-S-Greenwood-Ave,-Unit-1105-2,-Chicago,-IL-60615",41.800655,-87.599299,1,2,Unit 1105-2,,,
"5124 S University Ave, Unit Gf, Chicago, IL 60615",5124 S University Ave,Chicago,IL,60615,2595,2022-09-09T03:24:55.739Z,2022-05-08T03:52:25.519Z,,Cook County,Apartment,2022-07-12T21:15:29.000Z,Inactive,2022-09-16T03:27:58.466Z,66,"5124-S-University-Ave,-Unit-Gf,-Chicago,-IL-60615",41.801494,-87.598676,1,3,Unit Gf,,,
"5301-5309 S Ellis Ave, Chicago, IL 60615",5301-5309 S Ellis Ave,Chicago,IL,60615,1225,2022-09-08T03:23:29.823Z,2019-07-13T03:20:19.835Z,,Cook County,Apartment,2022-05-02T20:17:14.000Z,Inactive,2022-09-15T03:28:22.874Z,136,"5301-5309-S-Ellis-Ave,-Chicago,-IL-60615",41.799162,-87.600848,1,0,,,1924,
"5218 S Berkeley Ave Unit A, Chicago, IL 60615",5218 S Berkeley Ave Unit A,Chicago,IL,60615,2900,2022-09-01T03:24:13.974Z,2022-06-15T03:13:16.557Z,,Cook County,Townhouse,2022-06-14T15:56:34.000Z,Inactive,2022-09-08T03:26:27.399Z,86,"5218-S-Berkeley-Ave-Unit-A,-Chicago,-IL-60615",41.800373,-87.60108,2.5,3,,1700,2000,
